"Brand","Price","Image","Screen","CPU","RAM","VGA","OS","Weight","Link"
"Acer",5990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png",15.6,"Intel Celeron N4000",4," Intel® UHD Graphics 600 Shared","Linux",1.89,"https://fptshop.com.vn//may-tinh-xach-tay/acer-a315-32-c9a4"
"Acer",8690000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png",15.6,"Intel core i3 7020U",4,"Intel® HD Graphics 620 Shared","Linux",1.89,"https://fptshop.com.vn//may-tinh-xach-tay/acer-as-a315-51-325e"
"Acer",9290000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png",15.6,"Intel Core i3 7130U",4,"Intel HD Graphics 620 Shared","FreeDOS",2.1,"https://fptshop.com.vn//may-tinh-xach-tay/Acer-A315-51-364W"
"Acer",11899000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png",15.6,"Intel Core i5 7200U",4,"Intel HD Graphics Shared","Windows 10 Home 64-bit",2.1,"https://fptshop.com.vn//may-tinh-xach-tay/acer-aspire-a315-53-54t3"
"Acer",40999000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869511384415304_acer-predator-helios-300-ph315-daidien.png",15.6,"intel core i7 8750H",16,"NVIDIA GeForce GTX 1060 (GDDR5 SDRAM, Bus Width: 128 Bit) - Intel UHD Graphics 630 6 GB","Linux",2.6,"https://fptshop.com.vn//may-tinh-xach-tay/acer-predator-helios-300-ph315-51-759y"
"Acer",28790000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869632595544613_acer-swift-5-sf514-daidien.png",14,"Intel Core i7 8550U",8,"Intel UHD Graphics 620 Shared ","Windows 10 Home SL 64",0.94,"https://fptshop.com.vn//may-tinh-xach-tay/acer-swift-5-sf514-52t-87tf-core-i7-8550u"
"Acer",9190000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869468167208872_acer-a315-daidien.png",15.6,"Intel Core i3 7020U",4,"Intel HD Graphics 620 2 GB","Windows 10 Home",1.98,"https://fptshop.com.vn//may-tinh-xach-tay/acer-a315-53-30e7-core-i3-7020u"
"Swift",17990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869611319269125_acer-swift-sf314-54-daidien.png",14,"Intel Core i5 8250U",4,"Intel® UHD Graphics 620 Không","Windows 10 Home",1.5,"https://fptshop.com.vn//may-tinh-xach-tay/swift-sf314-54-58kb-core-i5-8250u"
"Swift",14990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/28/636869624940661433_acer-swift-sf315-daidien.png",15.6,"Intel Core i3 8130U",4,"Intel® UHD Graphics 620 Không","Windows 10 Home",1.7,"https://fptshop.com.vn//may-tinh-xach-tay/swift-sf315-52-38yq-core-i3-8130"
"Vostro",16490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/5/7/636612854975079854_Dell-Vostro-3578A.png",15.6,"Intel Core i5 8250U",4,"AMD Radeon 520 2 GB","Windows 10 Home SL 64",2.2,"https://fptshop.com.vn//may-tinh-xach-tay/vostro-3578b-core-i5-8250u"
